Season,TeamID,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMss,OppOss,OppDss,AdjEMnc
2013,1281,-2.02,114.9,96.4,66.3,-0.032,-2.02,105.1,99.5,-2.02
2006,1375,-3.47,109.1,99.9,65.7,+.056,-3.47,100.8,103.3,-3.47
2012,1438,-5.7,105.2,89.3,59.3,-0.024,-5.7,105,101,-5.7
2017,1139,+5.12,117.7,97,65.9,+.002,+5.12,110.8,100,+5.12
2012,1285,-0.72,103.7,96.9,64.2,+.064,-0.72,102.5,107.8,-0.72
2012,1160,+0.06,104.8,95.9,65.1,+.081,+0.06,105.7,100.4,+0.06
2012,1378,+1.27,103.9,90.8,58.5,+.040,+1.27,107.2,99,+1.27
2011,1276,-1.19,112.8,95.1,61.5,-0.014,-1.19,110.7,98.7,-1.19
2013,1143,+2.12,107.3,94.2,64.9,+.041,+2.12,106,97.6,+2.12
2016,1218,-8.92,108.2,96.1,70.6,+.013,-8.92,102.5,104.9,-8.92
2015,1268,-3.33,111.3,95.7,63.9,+.127,-3.33,108.3,101.1,-3.33
2005,1130,-4.21,114.3,96,64.8,+.078,-4.21,105.8,99.2,-4.21
2012,1272,+6.96,114.2,92.3,67.5,-0.064,+6.96,104.9,99.8,+6.96
2013,1247,-0.5,111.8,98,64.6,+.051,-0.5,105.8,100.1,-0.5
2015,1235,-1.18,119,97.5,69.6,+.005,-1.18,109,98.5,-1.18
2005,1329,+5.03,121.2,96.2,66.2,-0.015,+5.03,108,98.4,+5.03
2010,1257,-1.62,114.5,97.6,66.3,-0.038,-1.62,107.8,99,-1.62
2006,1437,+3.17,116.3,91.7,65.6,+.080,+3.17,108.4,97.6,+3.17
2004,1251,+5.71,98.3,100.8,67.5,+.000,+5.71,100.5,106.2,+5.71
