NCAA,ESPN,ESPN_PBP,conference,network_col,kenpom
USC Upstate,USC Upstate,South Carolina Upstate,A-Sun,forestgreen,uscupst.
UT Arlington,UT Arlington,UT Arlington,Sunbelt,orange,utarlington
UT Martin,UT Martin,UT Martin,OVC,orange,utmartin
Utah,Utah,Utah,Pac 12,red,utah
Utah St.,Utah State,Utah State,MWC,royalblue1,utahst.
Utah Valley,Utah Valley,Utah Valley,WAC,forestgreen,utahvalley
UTEP,UTEP,UTEP,C-USA,orange,utep
UTRGV,UT Rio Grande,UT Rio Grande Valley,WAC,orange,utrgv
UTSA,UTSA,UT San Antonio,C-USA,orange,utsa
Valparaiso,Valparaiso,Valparaiso,MVC,gold,valparaiso
Vanderbilt,Vanderbilt,Vanderbilt,SEC,gold,vanderbilt
VCU,VCU,VCU,A-10,gold,vcu
Vermont,Vermont,Vermont,Am. East,forestgreen,vermont
Villanova,Villanova,Villanova,Big East,royalblue3,villanova
Virginia,UVA,Virginia,ACC,orange,virginia
Virginia Tech,Virginia Tech,Virginia Tech,ACC,maroon,virginiatech
VMI,VMI,VMI,Southern,red,vmi
Wagner,Wagner,Wagner,NEC,forestgreen,wagner
Wake Forest,Wake Forest,Wake Forest,ACC,gold,wakeforest
Washington,Washington,Washington,Pac 12,purple,washington
Washington St.,Washington St,Washington State,Pac 12,firebrick2,washingtonst.
Weber St.,Weber State,Weber State,Big Sky,purple,weberst.
West Virginia,West Virginia,West Virginia,Big 12,gold,westvirginia
Western Caro.,W Carolina,Western Carolina,Southern,purple,westerncaro.
Western Ill.,W Illinois,Western Illinois,Summit,gold,westernill.
Western Ky.,W Kentucky,Western Kentucky,C-USA,red,westernky.
Western Mich.,W Michigan,Western Michigan,MAC,gold,westernmich.
Wichita St.,Wichita State,Wichita State,AAC,gold,wichitast.
William & Mary,William & Mary,William & Mary,CAA,forestgreen,william&mary
Winthrop,Winthrop,Winthrop,Big South,red,winthrop
Wisconsin,Wisconsin,Wisconsin,Big 10,red,wisconsin
Wofford,Wofford,Wofford,Southern,gold,wofford
Wright St.,Wright State,Wright State,Horizon,forestgreen,wrightst.
Wyoming,Wyoming,Wyoming,MWC,brown,wyoming
Xavier,Xavier,Xavier,Big East,royalblue3,xavier
Yale,Yale,Yale,Ivy,royalblue3,yale
Youngstown St.,Youngstown St,Youngstown State,Horizon,red,youngstownst.
